title,url,height_cm,price_gbp,media,width_cm
Balancing Acts III by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,7 ,400.00,"https://static.wixstatic.com/media/23a2ed_834a2b859dfc48a39e73a1d3bb48e022~mv2_d_1512_2016_s_2.jpg/v1/fill/w_996,h_1330,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_834a2b859dfc48a39e73a1d3bb48e022~mv2_d_1512_2016_s_2.jpg", 50
Balancing Acts V by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,7 ,340.00,"https://static.wixstatic.com/media/23a2ed_ec2c8770909f495fab310f5424c08402~mv2_d_1937_2417_s_2.jpeg/v1/fill/w_996,h_1330,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_ec2c8770909f495fab310f5424c08402~mv2_d_1937_2417_s_2.jpeg", 50
Somewhat Confusing I by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,74 ,640.00,"https://static.wixstatic.com/media/23a2ed_72348a24d8ff46e09e628e58f9147fa3~mv2.png/v1/fill/w_996,h_746,al_c,usm_0.66_1.00_0.01/23a2ed_72348a24d8ff46e09e628e58f9147fa3~mv2.png", 88
Balancing Acts IV by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,7 ,400.00,"https://static.wixstatic.com/media/23a2ed_6644f84b975c4865baa3b5ad8b23e52f~mv2.png/v1/fill/w_656,h_876,al_c/23a2ed_6644f84b975c4865baa3b5ad8b23e52f~mv2.png", 50
Somewhat Confusing II by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,75 ,640.00,"https://static.wixstatic.com/media/23a2ed_41a8e32bd6b342de94f4a030464e80b9~mv2.png/v1/fill/w_682,h_511,al_c,lg_1/23a2ed_41a8e32bd6b342de94f4a030464e80b9~mv2.png", 89
The Tide Seems To Whisper Your Name by Dominic Badnum,https://www.bearspace.co.uk/product-page/the-tide-seems-to-whisper-your-name-by-dominic-badnum,80cm ,"1,600.00","https://static.wixstatic.com/media/23a2ed_f732d2b06a53463e8128ff58f9c6f9ce~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_f732d2b06a53463e8128ff58f9c6f9ce~mv2.jpg", width 100
Take My Hand by Dominic Badnum,https://www.bearspace.co.uk/product-page/take-my-hand-by-dominic-badnum,40cm ,840.00,"https://static.wixstatic.com/media/23a2ed_2b58eee0b12a4820b2bc6685be1a4822~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_2b58eee0b12a4820b2bc6685be1a4822~mv2.jpg", 50
Purple Motion by Dionne Cole,https://www.bearspace.co.uk/product-page/purple-motion-by-dionne-cole,4 ,"1,200.00","https://static.wixstatic.com/media/23a2ed_b2ee9e446028443c9ec34e9d0c4ec8d9~mv2_d_2632_3696_s_4_2.jpg/v1/fill/w_996,h_1330,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_b2ee9e446028443c9ec34e9d0c4ec8d9~mv2_d_2632_3696_s_4_2.jpg", 84
This Day Is Ours by Dominic Bradnum,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-badnum,40 ,640.00,"https://static.wixstatic.com/media/23a2ed_8cfb916cdf22407cb4ae2b8b275f1484~mv2.jpg/v1/fill/w_996,h_746,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_8cfb916cdf22407cb4ae2b8b275f1484~mv2.jpg", 50
Meld 4 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,18 ,440.00,"https://static.wixstatic.com/media/23a2ed_b5b3f7b51e5b4e61beec59c15b2f0a6c~mv2_d_3299_4948_s_4_2.jpg/v1/fill/w_996,h_1496,al_c,q_85,usm_0.66_1.00_0.01/23a2ed_b5b3f7b51e5b4e61beec59c15b2f0a6c~mv2_d_3299_4948_s_4_2.jpg", 15
